Name,Wiki,Country,City,Timezone,Type,Language,Format,Media URL,Root URL,Page URL
ABC (TV),ABC_News_(Australia),Australia 🇦🇺,Sydney,Australia/Sydney,Video,English,M3U8,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index_45.m3u8,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/,https://www.abc.net.au/news
ABC (Radio),ABC_News_(Australia),Australia 🇦🇺,Sydney,Australia/Sydney,Audio,English,M3U8,https://mediaserviceslive.akamaized.net/hls/live/2038311/newsradio/masterhq.m3u8,https://mediaserviceslive.akamaized.net/hls/live/2038311/newsradio/,https://www.abc.net.au/news
Al Jazeera,Al_Jazeera_English,Qatar 🇶🇦,Doha,Asia/Qatar,Video,English,M3U8,https://live-hls-web-aje-fa.getaj.net/AJE/02.m3u8,https://live-hls-web-aje-fa.getaj.net/AJE/,https://www.aljazeera.com/
Arirang,Arirang_TV,South Korea 🇰🇷,Seoul,Asia/Seoul,Video,English,M3U8,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/,https://www.arirang.com/
BBC,BBC_World_Service,UK 🇬🇧,London,Europe/London,Audio,English,M3U8,https://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/nonuk/sbr_low/ak/bbc_world_service.m3u8,Null,https://www.bbc.com/news/world
CGTN,China_Global_Television_Network,China 🇨🇳,Beijing,Asia/Shanghai,Video,English,M3U8,https://live.cgtn.com/1000/prog_index.m3u8,https://live.cgtn.com/1000/,https://www.cgtn.com/
CGTN Documentary,CGTN_Documentary,China 🇨🇳,Beijing,Asia/Shanghai,Video,English,M3U8,https://livedoc.cgtn.com/1000d/prog_index.m3u8,https://live.cgtn.com/1000d/,https://www.cgtn.com/channel/documentary
CNA,CNA_(TV_network),Singapore 🇸🇬,Singapore,Asia/Singapore,Video,English,M3U8,https://mediacorp-videosbclive.akamaized.net/f4abbc22204c49e2b337203b0ebbf14b/ap-southeast-1/6057994443001/profile_0/chunklist.m3u8,https://mediacorp-videosbclive.akamaized.net/f4abbc22204c49e2b337203b0ebbf14b/ap-southeast-1/6057994443001/profile_0/,https://www.channelnewsasia.com/
DD India,DD_India,India 🇮🇳,New Delhi,Asia/Kolkata,Video,English,YouTube,https://www.youtube.com/watch?v=c0HOSjlniKs,Null,https://ddnews.gov.in/
DW,Deutsche_Welle,Germany 🇩🇪,Berlin,Europe/Berlin,Video,English,M3U8,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream04/streamPlaylist.m3u8,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream04/,https://www.dw.com/en/
France 24,France_24,France 🇫🇷,Paris,Europe/Paris,Video,English,YouTube,https://www.youtube.com/embed/tkDUSYHoKxE?&autoplay=1&mute=1,Null,https://www.france24.com/en/
KBS World,KBS_World,South Korea 🇰🇷,Seoul,Asia/Seoul,Audio,English,M3U8,https://worldradio.gscdn.kbs.co.kr/worldradio_192_4.m3u8?&Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly93b3JsZHJhZGlvLmdzY2RuLmticy5jby5rci93b3JsZHJhZGlvXzE5Ml80Lm0zdTgiLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3MDQ0MjIzOTF9fX1dfQ__&Signature=a5RIQxoN54yafUu5ilxioejK5WMr-yUOCrlBbTqenXRgwZsNfvGBa5jHwdX2HZBcjoa0wWcft6WtH9xBOiNiZUH~DWr4Mwhu6x6hGjyQ-tbpgoBuQ3KJEZTWaft2v~qyuhShdXXfOTTigaEsNxCaAAu~eXP2LhCAlznGayVeWukv~jvUy-yR3tTJFzCIqN~gUiIAnUk~Wcn8EfKthcVW0UgnBuNjoV4p52QUDn4yQl9MFy3wmlfHDGvWGeJwW4RkJ04YzT5yZ2K5UoS0XTfphbrEyLO53LEWSUlH6Kb4zNMjlOrvzTF6378PQychrWDZeURMarz49vNMGP9tGQR7xw__&Key-Pair-Id=APKAICDSGT3Y7IXGJ3TA,Null,https://world.kbs.co.kr/
NHK World,NHK_World-Japan,Japan 🇯🇵,Tokyo,Asia/Tokyo,Video,English,M3U8,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/,https://www3.nhk.or.jp/nhkworld/en/news/
